state_idx,cos_sim,mean_A,mean_g_norm_sq,v_unbiased_norm,v_intentional_norm
0,0.981374805779036,-0.008798193536502645,150466.69427832033,0.6396494507789612,5.1070151130261365e-06
1,0.9265950375970843,0.027032476957368195,192550.51832226562,1.340659260749817,8.965145752881654e-06
2,0.9939980738384201,-0.001400538066335184,198823.53908203126,1.024033546447754,5.762538421549834e-06
3,0.949221653024542,0.0367994207777416,185252.33972265624,2.0850532054901123,1.3816207683703396e-05
4,0.8631919195862382,0.02589115482416281,153988.93431347655,0.9343894720077515,7.026146249700105e-06
5,0.9590323584357966,0.010546597768344275,134507.92521875,0.690254807472229,5.895462891203351e-06
6,0.5312753652708773,-0.03312156687842283,135361.6111064453,0.37151384353637695,4.6993659452709835e-06
7,0.8809126525028423,0.01129034598497368,117262.60536230469,0.46934929490089417,3.9770907278580125e-06
8,0.8786956633333153,0.029505488080669225,125195.99767382813,0.9293350577354431,8.135204552672803e-06
9,0.7409867142108835,-0.0455963179313506,149338.96408789064,0.5767334699630737,5.944918939349009e-06
10,0.7733258276843632,-0.04358324182752712,217335.41740039064,1.0194607973098755,4.613105829776032e-06
11,0.9478386803312338,-0.016357021881548087,225044.69292871092,0.9155792593955994,4.156639988650568e-06
12,0.9885428731371064,-0.010163304388034576,260619.81561132811,1.6918880939483643,5.894426521990681e-06
13,0.5771464081276715,-0.053966087956204674,261457.1057109375,1.276889443397522,5.414443876361474e-06
14,0.8184211119499487,-0.049098449590962844,264070.73020703124,1.3381505012512207,7.364766133832745e-06
15,0.980604855051906,-0.011247462784535782,211972.38049609374,1.5515069961547852,7.639098839717917e-06
16,0.5573208976155489,0.05091753726943265,152965.89838867186,1.0229766368865967,8.882695510692429e-06
17,0.6617277811503361,0.009648632189847134,107684.8488359375,0.30040520429611206,3.0743665320187574e-06
18,0.9921080978402105,0.0029533723003943896,125230.93462792969,0.568159282207489,4.592642653733492e-06
19,0.8858490668058137,0.014375181203826215,137472.52540332032,0.5253207683563232,4.503916898102034e-06
20,0.6005651429295691,0.03529046917032259,170284.02369140624,0.466124027967453,4.4749322114512324e-06
21,0.9739284146973204,-0.014215990929798849,223564.31209960938,1.174635410308838,5.9242124734737445e-06
22,0.6276726845246879,-0.0744024193941253,273403.07014453126,1.7214900255203247,8.344788511749357e-06
23,0.8623248854684964,0.04266821613420835,193415.2650722656,2.546633005142212,1.3711889550904743e-05
24,0.9420731663760901,0.01931112776775411,259867.96321875,1.5482451915740967,6.135082458058605e-06
25,0.6076035199380417,-0.04493325804254556,177068.76440429688,0.7240290641784668,7.088439815561287e-06
26,0.4562824969765724,-0.03785602270606444,117004.15070507812,0.4717780649662018,7.473982805095147e-06
27,0.4413578935688309,0.01945421086622835,122847.28136230468,0.2743208706378937,3.1966835649654968e-06
28,0.9603675654470116,0.009291577794444866,128708.46165429687,0.4751910865306854,3.7771646930195857e-06
29,0.9959094230494231,-0.0038240867607971375,153379.3244404297,1.1444945335388184,7.087819994922029e-06
30,0.8428618336904224,-0.03350343668077691,188612.75953515625,0.620929479598999,4.826089480047813e-06
31,0.9500832671905456,0.007121140839031971,216036.0353359375,0.5930708646774292,2.773859250737587e-06
32,0.986222263709535,0.0009678635739038107,250535.3599453125,0.8022063374519348,2.9138375339243794e-06
33,0.9017232082641193,0.027833760724026956,300376.2935126953,0.9649039506912231,4.223305040795822e-06
34,0.8579300994253573,0.03170912494273516,336384.78302734374,1.4475253820419312,4.7796606850170065e-06
35,0.9056047583293076,-0.02765119812452866,245031.5607988281,2.821887254714966,1.133445039158687e-05
36,0.6902273684298489,-0.08645916814847336,217035.19506445312,1.9704409837722778,1.6286941900034435e-05
37,0.5588095831518176,-0.08381144533770896,94558.16462011718,1.3080874681472778,2.885375579353422e-05
38,0.8292870859009837,-0.03322831659557133,112690.63903515624,1.067972183227539,1.2137287740188185e-05
39,0.9954262391123269,-2.1458855631020233e-06,128432.34577148437,0.43713515996932983,3.302962340967497e-06
